Home gNB ID,Home Cell ID,Home Cell Global cell Id,Neighbor Cell Info
1400512,5G-HPE001-35-MC,358531245,72404-1400344-172
1400512,5G-HPE001-35-MC,358531245,auto358488235
1400512,5G-HPE001-35-MC,358531245,auto358528173
1400512,5G-HPE001-35-MC,358531245,auto358079661
1400512,5G-HPE001-35-MC,358531245,auto358528172
1400512,5G-HPE001-35-MC,358531245,auto358532523
1400512,5G-HPE001-35-MC,358531245,auto358488237
1400512,5G-HPE001-35-MC,358531245,auto358470828
1400512,5G-HPE001-35-MC,358531245,auto358523564
1400512,5G-HPE001-35-MA,358531243,72404-1397790-171
1400512,5G-HPE001-35-MA,358531243,auto358524333
1400512,5G-HPE001-35-MA,358531243,auto358020267
1400512,5G-HPE001-35-MA,358531243,auto358020268
1400512,5G-HPE001-35-MA,358531243,auto358030509
1400512,5G-HPE001-35-MA,358531243,auto357783981
1400512,5G-HPE001-35-MA,358531243,auto358482092
1400512,5G-HPE001-35-MA,358531243,auto358126253
1400512,5G-HPE001-35-MA,358531243,auto358511787
1400512,5G-HPE001-35-MA,358531243,auto358126252
1400512,5G-HPE001-35-MA,358531243,auto358528171
1400512,5G-HPE001-35-MA,358531243,72404-1397819-173
1400512,5G-HPE001-35-MA,358531243,auto358435501
1400512,5G-HPE001-35-MA,358531243,auto357834412
1400512,5G-HPE001-35-MA,358531243,auto358488236
1400512,5G-HPE001-35-MA,358531243,auto358511788
1400512,5G-HPE001-35-MA,358531243,72404-1400436-173
1400512,5G-HPE001-35-MA,358531243,auto358497708
1400512,5G-HPE001-35-MA,358531243,auto358488235
1400512,5G-HPE001-35-MA,358531243,auto358527148
1400512,5G-HPE001-35-MA,358531243,72404-1400512-172
1400512,5G-HPE001-35-MA,358531243,72404-1400512-173
1400512,5G-HPE001-35-MA,358531243,72404-1400506-173
1400512,5G-HPE001-35-MA,358531243,72404-1400496-173
1400512,5G-HPE001-35-MA,358531243,72404-1397599-173
1400512,5G-HPE001-35-MA,358531243,auto358528172
1400512,5G-HPE001-35-MA,358531243,auto358497707
